sampled_medoids	sampled_rap	sampled_nonrap	rap_fraction	multi_families	pure_rap_families	mixed_families	pure_nonrap_families	medoids_in_multi	within_family_pairs	rap_rap_pairs	rap_nonrap_pairs	nonrap_nonrap_pairs	expected_rap_rap_pairs_random	rap_rap_enrichment	rap_neighbor_homophily	homophily_lift_over_pool	target_rap_size	replicate	seed	alpha	threshold
755	200	555	0.26490066225165565	158	34	10	114	367	275	42	17	216	19.22637764154092	2.1844988579259934	0.8316831683168316	3.1396039603960393	200	37	20260905	0.1	0.8
755	200	555	0.26490066225165565	158	31	10	117	360	258	32	13	213	18.037837932791117	1.7740485372599433	0.8311688311688312	3.137662337662338	200	38	20260905	0.1	0.8
755	200	555	0.26490066225165565	154	33	5	116	363	281	49	11	221	19.645862244629086	2.4941638798977093	0.8990825688073395	3.3940366972477065	200	39	20260905	0.1	0.8
755	200	555	0.26490066225165565	158	36	6	116	366	272	43	14	215	19.016635339996835	2.2611781333136274	0.86	3.2464999999999997	200	40	20260905	0.1	0.8
755	200	555	0.26490066225165565	155	32	7	116	361	272	44	10	218	19.016635339996835	2.3137636712976652	0.8979591836734694	3.3897959183673465	200	41	20260905	0.1	0.8
755	200	555	0.26490066225165565	157	32	7	118	361	264	43	8	213	18.457322535879282	2.3296986828079795	0.9148936170212766	3.4537234042553187	200	42	20260905	0.1	0.8
755	200	555	0.26490066225165565	157	30	12	115	362	262	37	18	207	18.317494334849894	2.0199269246998353	0.8043478260869565	3.0364130434782606	200	43	20260905	0.1	0.8
755	200	555	0.26490066225165565	162	36	12	114	378	279	53	21	205	19.506034043599698	2.7171079411393886	0.8346456692913385	3.150787401574803	200	44	20260905	0.1	0.8
755	200	555	0.26490066225165565	163	38	9	116	378	282	52	15	215	19.71577634514378	2.6374817349157134	0.8739495798319328	3.299159663865546	200	45	20260905	0.1	0.8
755	200	555	0.26490066225165565	150	30	7	113	353	272	37	14	221	19.016635339996835	1.9456649054094002	0.8409090909090909	3.174431818181818	200	46	20260905	0.1	0.8
755	200	555	0.26490066225165565	156	32	9	115	359	265	36	14	215	18.527236636393976	1.9430852375082965	0.8372093023255814	3.16046511627907	200	47	20260905	0.1	0.8
755	200	555	0.26490066225165565	152	28	8	116	355	270	40	12	218	18.876807138967447	2.119002419504932	0.8695652173913043	3.2826086956521734	200	48	20260905	0.1	0.8
755	200	555	0.26490066225165565	160	39	5	116	367	269	40	9	220	18.806893038452753	2.1268797519194487	0.898876404494382	3.393258426966292	200	49	20260905	0.1	0.8
755	200	555	0.26490066225165565	164	39	9	116	376	269	49	15	205	18.806893038452753	2.6054276961013247	0.8672566371681416	3.273893805309734	200	50	20260905	0.1	0.8
755	200	555	0.26490066225165565	158	36	8	114	368	277	47	14	216	19.36620584257031	2.4269080057326344	0.8703703703703703	3.2856481481481477	200	51	20260905	0.1	0.8
755	200	555	0.26490066225165565	157	33	7	117	365	276	47	10	219	19.296291742055615	2.435701150680941	0.9038461538461539	3.4120192307692307	200	52	20260905	0.1	0.8
755	200	555	0.26490066225165565	159	37	6	116	368	275	45	14	216	19.22637764154092	2.340534490634993	0.8653846153846154	3.266826923076923	200	53	20260905	0.1	0.8
755	200	555	0.26490066225165565	155	30	10	115	359	265	36	17	212	18.527236636393976	1.9430852375082965	0.8089887640449438	3.0539325842696625	200	54	20260905	0.1	0.8
755	200	555	0.26490066225165565	159	35	6	118	370	278	56	7	215	19.436119943085004	2.8812335056577854	0.9411764705882353	3.552941176470588	200	55	20260905	0.1	0.8
755	200	555	0.26490066225165565	160	33	11	116	370	276	43	19	214	19.296291742055615	2.2284074357293715	0.819047619047619	3.0919047619047615	200	56	20260905	0.1	0.8
755	200	555	0.26490066225165565	155	31	12	112	368	290	47	25	218	20.275089149261333	2.3181155778894476	0.7899159663865546	2.9819327731092433	200	57	20260905	0.1	0.8
755	200	555	0.26490066225165565	155	31	11	113	365	279	47	19	213	19.506034043599698	2.4095108157273826	0.831858407079646	3.140265486725663	200	58	20260905	0.1	0.8
755	200	555	0.26490066225165565	162	33	17	112	376	287	41	32	214	20.06534684771725	2.0433237616654703	0.7192982456140351	2.715350877192982	200	59	20260905	0.1	0.8
